,date,0. ticker,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
0,1995-01-03,AAPL,38.88,38.88,37.88,38.38,1.201,927400.0,0.0,1.0
1,1995-01-04,AAPL,38.63,39.63,38.63,39.38,1.2323,1416800.0,0.0,1.0
2,1995-01-05,AAPL,39.25,39.38,38.75,38.88,1.2167,657500.0,0.0,1.0
3,1995-01-06,AAPL,41.63,43.13,41.13,42.0,1.3143,9612700.0,0.0,1.0
4,1995-01-09,AAPL,41.63,41.88,41.0,41.2,1.2893,2447200.0,0.0,1.0
5,1995-01-10,AAPL,41.25,44.0,41.25,43.69,1.3672,5489200.0,0.0,1.0
6,1995-01-11,AAPL,43.75,48.06,42.69,46.75,1.463,7802000.0,0.0,1.0
7,1995-01-12,AAPL,46.13,46.38,44.75,45.38,1.4201,4926600.0,0.0,1.0
8,1995-01-13,AAPL,46.13,46.13,44.38,44.88,1.4044,3137300.0,0.0,1.0
9,1995-01-16,AAPL,44.88,45.25,44.25,44.5,1.3926,1687300.0,0.0,1.0
10,1995-01-17,AAPL,44.5,45.5,44.13,45.0,1.4082,2947400.0,0.0,1.0
11,1995-01-18,AAPL,45.0,45.63,44.75,45.63,1.4279,1139800.0,0.0,1.0
12,1995-01-19,AAPL,45.5,46.0,45.0,45.88,1.4357,2806200.0,0.0,1.0
13,1995-01-20,AAPL,47.0,47.0,42.5,42.63,1.334,8931800.0,0.0,1.0
14,1995-01-23,AAPL,41.88,42.63,41.0,42.25,1.3221,3558400.0,0.0,1.0
15,1995-01-24,AAPL,42.25,42.38,41.38,41.63,1.3027,1947300.0,0.0,1.0
16,1995-01-25,AAPL,39.5,42.0,39.5,40.98,1.2824,4616700.0,0.0,1.0
17,1995-01-26,AAPL,40.88,41.5,39.25,39.5,1.2361,2199900.0,0.0,1.0
18,1995-01-27,AAPL,39.88,40.38,39.0,39.88,1.248,2665800.0,0.0,1.0
19,1995-01-30,AAPL,40.13,40.5,39.88,40.13,1.2558,2058800.0,0.0,1.0
20,1995-01-31,AAPL,40.5,40.88,40.0,40.38,1.2636,1899800.0,0.0,1.0
21,1995-02-01,AAPL,40.75,40.75,39.88,40.13,1.2558,1414000.0,0.0,1.0
22,1995-02-02,AAPL,40.13,41.88,40.13,41.63,1.3027,1817700.0,0.0,1.0
23,1995-02-03,AAPL,42.0,42.13,40.38,40.5,1.2674,2850100.0,0.0,1.0
24,1995-02-06,AAPL,40.75,40.75,39.5,40.5,1.2674,2169900.0,0.0,1.0
25,1995-02-07,AAPL,40.38,41.0,40.0,40.81,1.2771,1800000.0,0.0,1.0
26,1995-02-08,AAPL,41.0,42.38,40.88,42.31,1.324,3597000.0,0.0,1.0
27,1995-02-09,AAPL,42.13,43.88,42.13,43.63,1.3653,4244600.0,0.0,1.0
28,1995-02-10,AAPL,43.63,44.19,43.38,43.75,1.3691,3133600.0,0.0,1.0
29,1995-02-13,AAPL,43.5,44.5,43.25,43.75,1.3728,2530100.0,0.12,1.0
30,1995-02-14,AAPL,43.75,44.13,42.63,42.94,1.3474,1478700.0,0.0,1.0
31,1995-02-15,AAPL,43.25,43.5,42.5,42.56,1.3355,1647100.0,0.0,1.0
32,1995-02-16,AAPL,43.13,43.25,42.63,43.19,1.3553,1953400.0,0.0,1.0
33,1995-02-17,AAPL,42.88,43.0,42.5,42.5,1.3336,1087400.0,0.0,1.0
34,1995-02-21,AAPL,42.63,42.75,40.88,41.0,1.2865,2692700.0,0.0,1.0
35,1995-02-22,AAPL,40.63,41.0,40.13,40.81,1.2806,2619800.0,0.0,1.0
36,1995-02-23,AAPL,41.13,41.88,40.0,40.19,1.2611,2809900.0,0.0,1.0
37,1995-02-24,AAPL,40.13,40.38,38.5,39.0,1.2238,5078700.0,0.0,1.0
38,1995-02-27,AAPL,38.25,39.0,38.11,38.25,1.2003,2400100.0,0.0,1.0
39,1995-02-28,AAPL,38.5,39.88,38.0,39.5,1.2395,1990800.0,0.0,1.0
40,1995-03-01,AAPL,39.75,40.13,39.42,40.0,1.2552,2004000.0,0.0,1.0
41,1995-03-02,AAPL,40.13,40.75,39.75,40.0,1.2552,2399500.0,0.0,1.0
42,1995-03-03,AAPL,39.75,40.69,39.5,40.25,1.263,1301500.0,0.0,1.0
43,1995-03-06,AAPL,39.75,40.0,39.5,39.75,1.2473,1185000.0,0.0,1.0
44,1995-03-07,AAPL,39.88,39.88,38.25,38.31,1.2021,1346300.0,0.0,1.0
45,1995-03-08,AAPL,38.75,40.13,37.75,39.56,1.2414,3257800.0,0.0,1.0
46,1995-03-09,AAPL,39.88,40.38,39.38,39.75,1.2473,1756100.0,0.0,1.0
47,1995-03-10,AAPL,39.63,40.38,39.38,39.5,1.2395,1226900.0,0.0,1.0
48,1995-03-13,AAPL,39.63,39.63,38.0,38.13,1.1965,2908500.0,0.0,1.0
